,imageName,labelName,classNum
0,C:\dataset\drone\train\images\0508_V0024_036.jpg,C:\dataset\drone\train\labels\0508_V0024_036.txt,1
1,C:\dataset\drone\train\images\0508_V0024_036.jpg,C:\dataset\drone\train\labels\0508_V0024_036.txt,0
2,C:\dataset\drone\train\images\0508_V0024_036.jpg,C:\dataset\drone\train\labels\0508_V0024_036.txt,3
3,C:\dataset\drone\train\images\0508_V0024_036.jpg,C:\dataset\drone\train\labels\0508_V0024_036.txt,2
4,C:\dataset\drone\train\images\0508_V0024_055.jpg,C:\dataset\drone\train\labels\0508_V0024_055.txt,2
5,C:\dataset\drone\train\images\0508_V0024_055.jpg,C:\dataset\drone\train\labels\0508_V0024_055.txt,1
6,C:\dataset\drone\train\images\0508_V0024_055.jpg,C:\dataset\drone\train\labels\0508_V0024_055.txt,0
7,C:\dataset\drone\train\images\0508_V0024_055.jpg,C:\dataset\drone\train\labels\0508_V0024_055.txt,2
8,C:\dataset\drone\train\images\0508_V0024_055.jpg,C:\dataset\drone\train\labels\0508_V0024_055.txt,3
9,C:\dataset\drone\train\images\0508_V0024_055.jpg,C:\dataset\drone\train\labels\0508_V0024_055.txt,3
10,C:\dataset\drone\train\images\0509_V0028_065.jpg,C:\dataset\drone\train\labels\0509_V0028_065.txt,0
11,C:\dataset\drone\train\images\0509_V0028_065.jpg,C:\dataset\drone\train\labels\0509_V0028_065.txt,1
12,C:\dataset\drone\train\images\0509_V0028_065.jpg,C:\dataset\drone\train\labels\0509_V0028_065.txt,1
13,C:\dataset\drone\train\images\0509_V0028_065.jpg,C:\dataset\drone\train\labels\0509_V0028_065.txt,1
14,C:\dataset\drone\train\images\0509_V0028_065.jpg,C:\dataset\drone\train\labels\0509_V0028_065.txt,1
15,C:\dataset\drone\train\images\0509_V0028_065.jpg,C:\dataset\drone\train\labels\0509_V0028_065.txt,2
16,C:\dataset\drone\train\images\0509_V0028_065.jpg,C:\dataset\drone\train\labels\0509_V0028_065.txt,3
17,C:\dataset\drone\train\images\0509_V0028_065.jpg,C:\dataset\drone\train\labels\0509_V0028_065.txt,0
18,C:\dataset\drone\train\images\0509_V0028_065.jpg,C:\dataset\drone\train\labels\0509_V0028_065.txt,0
19,C:\dataset\drone\train\images\0509_V0028_065.jpg,C:\dataset\drone\train\labels\0509_V0028_065.txt,0
20,C:\dataset\drone\train\images\0509_V0028_103.jpg,C:\dataset\drone\train\labels\0509_V0028_103.txt,1
21,C:\dataset\drone\train\images\0509_V0028_103.jpg,C:\dataset\drone\train\labels\0509_V0028_103.txt,3
22,C:\dataset\drone\train\images\0509_V0028_103.jpg,C:\dataset\drone\train\labels\0509_V0028_103.txt,3
23,C:\dataset\drone\train\images\0509_V0028_103.jpg,C:\dataset\drone\train\labels\0509_V0028_103.txt,2
24,C:\dataset\drone\train\images\0509_V0028_103.jpg,C:\dataset\drone\train\labels\0509_V0028_103.txt,2
25,C:\dataset\drone\train\images\0509_V0028_103.jpg,C:\dataset\drone\train\labels\0509_V0028_103.txt,0
26,C:\dataset\drone\train\images\0509_V0028_103.jpg,C:\dataset\drone\train\labels\0509_V0028_103.txt,0
27,C:\dataset\drone\train\images\0509_V0028_103.jpg,C:\dataset\drone\train\labels\0509_V0028_103.txt,0
28,C:\dataset\drone\train\images\0509_V0028_103.jpg,C:\dataset\drone\train\labels\0509_V0028_103.txt,1
29,C:\dataset\drone\train\images\0509_V0028_103.jpg,C:\dataset\drone\train\labels\0509_V0028_103.txt,1
30,C:\dataset\drone\train\images\0509_V0028_104.jpg,C:\dataset\drone\train\labels\0509_V0028_104.txt,0
31,C:\dataset\drone\train\images\0509_V0028_104.jpg,C:\dataset\drone\train\labels\0509_V0028_104.txt,3
32,C:\dataset\drone\train\images\0509_V0028_104.jpg,C:\dataset\drone\train\labels\0509_V0028_104.txt,2
33,C:\dataset\drone\train\images\0509_V0028_104.jpg,C:\dataset\drone\train\labels\0509_V0028_104.txt,0
34,C:\dataset\drone\train\images\0509_V0028_104.jpg,C:\dataset\drone\train\labels\0509_V0028_104.txt,1
35,C:\dataset\drone\train\images\0509_V0028_104.jpg,C:\dataset\drone\train\labels\0509_V0028_104.txt,1
36,C:\dataset\drone\train\images\0509_V0028_104.jpg,C:\dataset\drone\train\labels\0509_V0028_104.txt,1
37,C:\dataset\drone\train\images\0509_V0028_104.jpg,C:\dataset\drone\train\labels\0509_V0028_104.txt,2
38,C:\dataset\drone\train\images\0509_V0028_104.jpg,C:\dataset\drone\train\labels\0509_V0028_104.txt,0
39,C:\dataset\drone\train\images\0509_V0028_104.jpg,C:\dataset\drone\train\labels\0509_V0028_104.txt,3
40,C:\dataset\drone\train\images\0509_V0028_106.jpg,C:\dataset\drone\train\labels\0509_V0028_106.txt,0
41,C:\dataset\drone\train\images\0509_V0028_106.jpg,C:\dataset\drone\train\labels\0509_V0028_106.txt,1
42,C:\dataset\drone\train\images\0509_V0028_106.jpg,C:\dataset\drone\train\labels\0509_V0028_106.txt,1
43,C:\dataset\drone\train\images\0509_V0028_106.jpg,C:\dataset\drone\train\labels\0509_V0028_106.txt,1
44,C:\dataset\drone\train\images\0509_V0028_106.jpg,C:\dataset\drone\train\labels\0509_V0028_106.txt,0
45,C:\dataset\drone\train\images\0509_V0028_106.jpg,C:\dataset\drone\train\labels\0509_V0028_106.txt,0
46,C:\dataset\drone\train\images\0509_V0028_106.jpg,C:\dataset\drone\train\labels\0509_V0028_106.txt,2
47,C:\dataset\drone\train\images\0509_V0028_106.jpg,C:\dataset\drone\train\labels\0509_V0028_106.txt,2
48,C:\dataset\drone\train\images\0509_V0028_106.jpg,C:\dataset\drone\train\labels\0509_V0028_106.txt,3
49,C:\dataset\drone\train\images\0509_V0028_106.jpg,C:\dataset\drone\train\labels\0509_V0028_106.txt,3
50,C:\dataset\drone\train\images\0509_V0028_125.jpg,C:\dataset\drone\train\labels\0509_V0028_125.txt,0
51,C:\dataset\drone\train\images\0509_V0028_125.jpg,C:\dataset\drone\train\labels\0509_V0028_125.txt,3
52,C:\dataset\drone\train\images\0509_V0028_125.jpg,C:\dataset\drone\train\labels\0509_V0028_125.txt,3
53,C:\dataset\drone\train\images\0509_V0028_125.jpg,C:\dataset\drone\train\labels\0509_V0028_125.txt,0
54,C:\dataset\drone\train\images\0509_V0028_125.jpg,C:\dataset\drone\train\labels\0509_V0028_125.txt,2
55,C:\dataset\drone\train\images\0509_V0028_125.jpg,C:\dataset\drone\train\labels\0509_V0028_125.txt,1
56,C:\dataset\drone\train\images\0509_V0028_125.jpg,C:\dataset\drone\train\labels\0509_V0028_125.txt,1
57,C:\dataset\drone\train\images\0509_V0028_125.jpg,C:\dataset\drone\train\labels\0509_V0028_125.txt,1
58,C:\dataset\drone\train\images\0509_V0028_125.jpg,C:\dataset\drone\train\labels\0509_V0028_125.txt,0
59,C:\dataset\drone\train\images\0509_V0028_125.jpg,C:\dataset\drone\train\labels\0509_V0028_125.txt,2
60,C:\dataset\drone\train\images\0509_V0028_127.jpg,C:\dataset\drone\train\labels\0509_V0028_127.txt,0
61,C:\dataset\drone\train\images\0509_V0028_127.jpg,C:\dataset\drone\train\labels\0509_V0028_127.txt,2
62,C:\dataset\drone\train\images\0509_V0028_127.jpg,C:\dataset\drone\train\labels\0509_V0028_127.txt,2
63,C:\dataset\drone\train\images\0509_V0028_127.jpg,C:\dataset\drone\train\labels\0509_V0028_127.txt,3
64,C:\dataset\drone\train\images\0509_V0028_127.jpg,C:\dataset\drone\train\labels\0509_V0028_127.txt,3
65,C:\dataset\drone\train\images\0509_V0028_127.jpg,C:\dataset\drone\train\labels\0509_V0028_127.txt,1
66,C:\dataset\drone\train\images\0509_V0028_127.jpg,C:\dataset\drone\train\labels\0509_V0028_127.txt,1
67,C:\dataset\drone\train\images\0509_V0028_127.jpg,C:\dataset\drone\train\labels\0509_V0028_127.txt,1
68,C:\dataset\drone\train\images\0509_V0028_127.jpg,C:\dataset\drone\train\labels\0509_V0028_127.txt,0
69,C:\dataset\drone\train\images\0509_V0028_127.jpg,C:\dataset\drone\train\labels\0509_V0028_127.txt,0
70,C:\dataset\drone\train\images\0509_V0028_141.jpg,C:\dataset\drone\train\labels\0509_V0028_141.txt,3
71,C:\dataset\drone\train\images\0509_V0028_141.jpg,C:\dataset\drone\train\labels\0509_V0028_141.txt,3
72,C:\dataset\drone\train\images\0509_V0028_141.jpg,C:\dataset\drone\train\labels\0509_V0028_141.txt,0
73,C:\dataset\drone\train\images\0509_V0028_141.jpg,C:\dataset\drone\train\labels\0509_V0028_141.txt,0
74,C:\dataset\drone\train\images\0509_V0028_141.jpg,C:\dataset\drone\train\labels\0509_V0028_141.txt,0
75,C:\dataset\drone\train\images\0509_V0028_141.jpg,C:\dataset\drone\train\labels\0509_V0028_141.txt,1
76,C:\dataset\drone\train\images\0509_V0028_141.jpg,C:\dataset\drone\train\labels\0509_V0028_141.txt,1
77,C:\dataset\drone\train\images\0509_V0028_141.jpg,C:\dataset\drone\train\labels\0509_V0028_141.txt,1
78,C:\dataset\drone\train\images\0509_V0028_141.jpg,C:\dataset\drone\train\labels\0509_V0028_141.txt,2
79,C:\dataset\drone\train\images\0509_V0028_141.jpg,C:\dataset\drone\train\labels\0509_V0028_141.txt,2
80,C:\dataset\drone\train\images\0509_V0028_158.jpg,C:\dataset\drone\train\labels\0509_V0028_158.txt,1
81,C:\dataset\drone\train\images\0509_V0028_158.jpg,C:\dataset\drone\train\labels\0509_V0028_158.txt,3
82,C:\dataset\drone\train\images\0509_V0028_158.jpg,C:\dataset\drone\train\labels\0509_V0028_158.txt,1
83,C:\dataset\drone\train\images\0509_V0028_158.jpg,C:\dataset\drone\train\labels\0509_V0028_158.txt,1
84,C:\dataset\drone\train\images\0509_V0028_158.jpg,C:\dataset\drone\train\labels\0509_V0028_158.txt,0
85,C:\dataset\drone\train\images\0509_V0028_158.jpg,C:\dataset\drone\train\labels\0509_V0028_158.txt,0
86,C:\dataset\drone\train\images\0509_V0028_158.jpg,C:\dataset\drone\train\labels\0509_V0028_158.txt,0
87,C:\dataset\drone\train\images\0509_V0028_158.jpg,C:\dataset\drone\train\labels\0509_V0028_158.txt,2
88,C:\dataset\drone\train\images\0509_V0028_161.jpg,C:\dataset\drone\train\labels\0509_V0028_161.txt,0
89,C:\dataset\drone\train\images\0509_V0028_161.jpg,C:\dataset\drone\train\labels\0509_V0028_161.txt,1
90,C:\dataset\drone\train\images\0509_V0028_161.jpg,C:\dataset\drone\train\labels\0509_V0028_161.txt,1
91,C:\dataset\drone\train\images\0509_V0028_161.jpg,C:\dataset\drone\train\labels\0509_V0028_161.txt,1
92,C:\dataset\drone\train\images\0509_V0028_161.jpg,C:\dataset\drone\train\labels\0509_V0028_161.txt,0
93,C:\dataset\drone\train\images\0509_V0028_161.jpg,C:\dataset\drone\train\labels\0509_V0028_161.txt,0
94,C:\dataset\drone\train\images\0509_V0028_161.jpg,C:\dataset\drone\train\labels\0509_V0028_161.txt,2
95,C:\dataset\drone\train\images\0509_V0028_161.jpg,C:\dataset\drone\train\labels\0509_V0028_161.txt,3
96,C:\dataset\drone\train\images\0509_V0028_163.jpg,C:\dataset\drone\train\labels\0509_V0028_163.txt,1
97,C:\dataset\drone\train\images\0509_V0028_163.jpg,C:\dataset\drone\train\labels\0509_V0028_163.txt,1
98,C:\dataset\drone\train\images\0509_V0028_163.jpg,C:\dataset\drone\train\labels\0509_V0028_163.txt,1
99,C:\dataset\drone\train\images\0509_V0028_163.jpg,C:\dataset\drone\train\labels\0509_V0028_163.txt,0
100,C:\dataset\drone\train\images\0509_V0028_163.jpg,C:\dataset\drone\train\labels\0509_V0028_163.txt,0
101,C:\dataset\drone\train\images\0509_V0028_163.jpg,C:\dataset\drone\train\labels\0509_V0028_163.txt,0
102,C:\dataset\drone\train\images\0509_V0028_163.jpg,C:\dataset\drone\train\labels\0509_V0028_163.txt,2
103,C:\dataset\drone\train\images\0509_V0028_163.jpg,C:\dataset\drone\train\labels\0509_V0028_163.txt,3
104,C:\dataset\drone\train\images\0509_V0028_168.jpg,C:\dataset\drone\train\labels\0509_V0028_168.txt,0
105,C:\dataset\drone\train\images\0509_V0028_168.jpg,C:\dataset\drone\train\labels\0509_V0028_168.txt,0
106,C:\dataset\drone\train\images\0509_V0028_168.jpg,C:\dataset\drone\train\labels\0509_V0028_168.txt,2
107,C:\dataset\drone\train\images\0509_V0028_168.jpg,C:\dataset\drone\train\labels\0509_V0028_168.txt,3
108,C:\dataset\drone\train\images\0509_V0028_168.jpg,C:\dataset\drone\train\labels\0509_V0028_168.txt,1
109,C:\dataset\drone\train\images\0509_V0028_168.jpg,C:\dataset\drone\train\labels\0509_V0028_168.txt,1
110,C:\dataset\drone\train\images\0509_V0028_168.jpg,C:\dataset\drone\train\labels\0509_V0028_168.txt,1
111,C:\dataset\drone\train\images\0509_V0028_168.jpg,C:\dataset\drone\train\labels\0509_V0028_168.txt,0
112,C:\dataset\drone\train\images\0509_V0028_169.jpg,C:\dataset\drone\train\labels\0509_V0028_169.txt,1
113,C:\dataset\drone\train\images\0509_V0028_169.jpg,C:\dataset\drone\train\labels\0509_V0028_169.txt,0
114,C:\dataset\drone\train\images\0509_V0028_169.jpg,C:\dataset\drone\train\labels\0509_V0028_169.txt,1
115,C:\dataset\drone\train\images\0509_V0028_169.jpg,C:\dataset\drone\train\labels\0509_V0028_169.txt,1
116,C:\dataset\drone\train\images\0509_V0028_169.jpg,C:\dataset\drone\train\labels\0509_V0028_169.txt,0
